Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
4,0.2,0.3,0.0,100000,1000,12,0,10,0.0,0.0,0.0,0.0,,0.005454542975207739,0.005454542975207739,10,12
4,0.2,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,201.3,0.0,0.999727347087158,11,11
4,0.2,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
4,0.2,0.3,0.1,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999318182748,0.00499999318182748,11,11
4,0.2,0.3,0.1,100000,1000,12,0,10,0.0,0.0,0.0,0.0,,0.005454538016539069,0.005454538016539069,10,12
5,0.01,0.05,0.0,500,0,2,4,7,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.4705882352941177,262.0,0.181801654395055,0.545404963185165,11,6
5,0.01,0.05,0.0,500,1000,7,0,4,0.0,0.0,0.0,0.0,,0.6363057903826924,0.6363057903826924,4,7
5,0.01,0.05,0.0,100000,0,20,0,11,0.0,0.0,0.0,0.0,,0.009090904958679565,0.009090904958679565,11,20
5,0.01,0.05,0.0,100000,1000,13,0,10,0.0,0.0,0.0,0.0,,0.005909088223141717,0.005909088223141717,10,13
5,0.01,0.05,0.1,500,0,0,2,9,1.0,0.18181818181818182,0.18181818181818182,0.3076923076923077,259.0,0.0,0.18176860856130145,11,2
5,0.01,0.05,0.1,500,1000,7,0,4,0.0,0.0,0.0,0.0,,0.636190129964555,0.636190129964555,4,7
5,0.01,0.05,0.1,100000,0,19,0,11,0.0,0.0,0.0,0.0,,0.008636351859520192,0.008636351859520192,11,19
5,0.01,0.05,0.1,100000,1000,17,0,10,0.0,0.0,0.0,0.0,,0.007727262190097013,0.007727262190097013,10,17
5,0.01,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,155.8,0.0,0.909008271975275,11,10
5,0.01,0.3,0.0,500,1000,8,0,4,0.0,0.0,0.0,0.0,,0.72720661758022,0.72720661758022,4,8
5,0.01,0.3,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
5,0.01,0.3,0.0,100000,1000,14,0,10,0.0,0.0,0.0,0.0,,0.0063636334710756946,0.0063636334710756946,10,14
5,0.01,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,140.4,0.0,0.9088430428065074,11,10
5,0.01,0.3,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
5,0.01,0.3,0.1,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999318182748,0.00499999318182748,11,11
5,0.01,0.3,0.1,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,10,10
5,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.05,0.0,100000,0,14,0,11,0.0,0.0,0.0,0.0,,0.0063636334710756946,0.0063636334710756946,11,14
5,0.2,0.05,0.0,100000,1000,3,0,10,0.0,0.0,0.0,0.0,,0.0013636357438019347,0.0013636357438019347,10,3
5,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.05,0.1,100000,0,1,0,11,0.0,0.0,0.0,0.0,,0.00045454483471158905,0.00045454483471158905,11,1
5,0.2,0.05,0.1,100000,1000,1,0,10,0.0,0.0,0.0,0.0,,0.00045454483471158905,0.00045454483471158905,10,1
5,0.2,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,200.9,0.0,0.909008271975275,11,10
5,0.2,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
5,0.2,0.3,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
5,0.2,0.3,0.0,100000,1000,11,0,10,0.0,0.0,0.0,0.0,,0.00499999772727376,0.00499999772727376,10,11
5,0.2,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,171.9,0.0,0.9088430428065074,11,10
5,0.2,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
5,0.2,0.3,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
5,0.2,0.3,0.1,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,10,10
6,0.01,0.05,0.0,500,0,2,3,10,0.6,0.23076923076923078,0.09090909090909091,0.33333333333333337,332.0,0.181801654395055,0.4545041359876375,11,5
6,0.01,0.05,0.0,500,1000,11,0,4,0.0,0.0,0.0,0.0,,0.9999090991728026,0.9999090991728026,4,11
6,0.01,0.05,0.0,100000,0,22,0,11,0.0,0.0,0.0,0.0,,0.00999999545454752,0.00999999545454752,11,22
6,0.01,0.05,0.0,100000,1000,22,0,10,0.0,0.0,0.0,0.0,,0.00999999545454752,0.00999999545454752,10,22
6,0.01,0.05,0.1,500,0,2,0,11,0.0,0.0,0.0,0.0,,0.18176860856130145,0.18176860856130145,11,2
6,0.01,0.05,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
6,0.01,0.05,0.1,100000,0,22,0,11,0.0,0.0,0.0,0.0,,0.00999998636365496,0.00999998636365496,11,22
6,0.01,0.05,0.1,100000,1000,26,0,10,0.0,0.0,0.0,0.0,,0.011818165702501314,0.011818165702501314,10,26
6,0.01,0.3,0.0,500,0,0,15,1,1.0,0.9375,0.9090909090909091,0.967741935483871,147.0,0.0,1.3635124079629124,11,15
6,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
6,0.01,0.3,0.0,100000,0,12,0,11,0.0,0.0,0.0,0.0,,0.005454542975207739,0.005454542975207739,11,12
6,0.01,0.3,0.0,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,10,10
6,0.01,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,147.5,0.0,0.999727347087158,11,11
6,0.01,0.3,0.1,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4544215214032537,0.4544215214032537,4,5
6,0.01,0.3,0.1,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999318182748,0.00499999318182748,11,11
6,0.01,0.3,0.1,100000,1000,18,0,10,0.0,0.0,0.0,0.0,,0.008181807024808604,0.008181807024808604,10,18
6,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.0,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,4,1
6,0.2,0.05,0.0,100000,0,4,0,11,0.0,0.0,0.0,0.0,,0.0018181809917359128,0.0018181809917359128,11,4
6,0.2,0.05,0.0,100000,1000,13,0,10,0.0,0.0,0.0,0.0,,0.005909088223141717,0.005909088223141717,10,13
6,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.1,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.09088430428065072,0.09088430428065072,4,1
6,0.2,0.05,0.1,100000,0,9,0,11,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,11,9
6,0.2,0.05,0.1,100000,1000,1,0,10,0.0,0.0,0.0,0.0,,0.00045454483471158905,0.00045454483471158905,10,1
6,0.2,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,202.5,0.0,0.909008271975275,11,10
6,0.2,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
6,0.2,0.3,0.0,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999772727376,0.00499999772727376,11,11
6,0.2,0.3,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
6,0.2,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,230.6,0.0,0.9088430428065074,11,10
6,0.2,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
6,0.2,0.3,0.1,100000,0,12,0,11,0.0,0.0,0.0,0.0,,0.005454538016539069,0.005454538016539069,11,12
6,0.2,0.3,0.1,100000,1000,11,0,10,0.0,0.0,0.0,0.0,,0.00499999318182748,0.00499999318182748,10,11
7,0.01,0.05,0.0,500,0,6,10,5,0.625,0.6666666666666666,0.5454545454545454,0.6451612903225806,243.83333333333334,0.545404963185165,1.45441323516044,11,16
7,0.01,0.05,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
7,0.01,0.05,0.0,100000,0,52,0,11,0.0,0.0,0.0,0.0,,0.023636352892566867,0.023636352892566867,11,52
7,0.01,0.05,0.0,100000,1000,26,0,10,0.0,0.0,0.0,0.0,,0.011818176446283434,0.011818176446283434,10,26
