,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.01,0.3,0.1,5000,1000,40,500,21,70,0,0.7692307692307693,1.0,1.0,0.8695652173913044,421.175,0.0437044745057232,0.1893860561914672,40,91
0,10,0.2,0.05,0.0,100000,0,10,500,13,0,10,0.0,0.0,0.0,0.0,,0.0064983754061484,0.0064983754061484,10,13
0,10,0.2,0.05,0.0,100000,0,20,500,12,1,19,0.0769230769230769,0.05,0.05,0.0606060606060606,361.0,0.0029996250468691,0.0032495938007749,20,13
0,10,0.2,0.05,0.0,100000,0,30,500,29,1,29,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,352.0,0.0048329305891175,0.0049995833680526,30,30
0,10,0.2,0.05,0.0,100000,0,40,500,128,1,39,0.0077519379844961,0.025,0.025,0.0118343195266272,340.0,0.015999000062496,0.0161239922504843,40,129
0,10,0.2,0.05,0.0,100000,1000,10,500,20,2,8,0.0909090909090909,0.2,0.2,0.125,1225.5,0.0098985399653551,0.0108883939618906,10,22
0,10,0.2,0.05,0.0,100000,1000,20,500,16,4,16,0.2,0.2,0.2,0.2,1237.0,0.0039599059522336,0.004949882440292,20,20
0,10,0.2,0.05,0.0,100000,1000,30,500,21,9,21,0.3,0.3,0.3,0.3,1213.111111111111,0.0034650606385611,0.0049500866265159,30,30
0,10,0.2,0.05,0.0,100000,1000,40,500,30,11,29,0.2682926829268293,0.275,0.275,0.271604938271605,1267.2727272727273,0.0037126415444588,0.0050739434440938,40,41
0,10,0.2,0.05,0.0,5000,0,10,500,6,0,10,0.0,0.0,0.0,0.0,,0.0597014925373134,0.0597014925373134,10,6
0,10,0.2,0.05,0.0,5000,0,20,500,18,0,20,0.0,0.0,0.0,0.0,,0.0897755610972568,0.0897755610972568,20,18
0,10,0.2,0.05,0.0,5000,0,30,500,32,1,29,0.0303030303030303,0.0333333333333333,0.0333333333333333,0.0317460317460317,376.0,0.1064891846921797,0.1098169717138103,30,33
0,10,0.2,0.05,0.0,5000,0,40,500,31,3,37,0.088235294117647,0.075,0.075,0.081081081081081,389.6666666666667,0.0774032459425717,0.0848938826466916,40,34
0,10,0.2,0.05,0.0,5000,1000,10,500,8,1,9,0.1111111111111111,0.1,0.1,0.1052631578947368,1326.0,0.0663900414937759,0.0746887966804979,10,9
0,10,0.2,0.05,0.0,5000,1000,20,500,23,1,19,0.0416666666666666,0.05,0.05,0.0454545454545454,1304.0,0.0956340956340956,0.0997920997920998,20,24
0,10,0.2,0.05,0.0,5000,1000,30,500,425,29,20,0.0638766519823788,0.5918367346938775,0.3333333333333333,0.1153081510934393,860.8,1.1789181692094313,1.2593619972260748,30,454
0,10,0.2,0.05,0.0,5000,1000,40,500,38,2,38,0.05,0.05,0.05,0.05,1086.5,0.0790842872008324,0.0832466181061394,40,40
0,10,0.2,0.05,0.1,100000,0,10,500,15,0,10,0.0,0.0,0.0,0.0,,0.0074981254686328,0.0074981254686328,10,15
0,10,0.2,0.05,0.1,100000,0,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.0047494063242094,0.0047494063242094,20,19
0,10,0.2,0.05,0.1,100000,0,30,500,50,0,30,0.0,0.0,0.0,0.0,,0.0083326389467544,0.0083326389467544,30,50
0,10,0.2,0.05,0.1,100000,0,40,500,40,0,40,0.0,0.0,0.0,0.0,,0.00499968751953,0.00499968751953,40,40
0,10,0.2,0.05,0.1,100000,1000,10,500,11,0,10,0.0,0.0,0.0,0.0,,0.0054441969809453,0.0054441969809453,10,11
0,10,0.2,0.05,0.1,100000,1000,20,500,18,1,19,0.0526315789473684,0.05,0.05,0.0512820512820512,1443.0,0.0044548941962628,0.0047023883182774,20,19
0,10,0.2,0.05,0.1,100000,1000,30,500,24,6,24,0.2,0.2,0.2,0.2,1238.1666666666667,0.0039600693012127,0.0049500866265159,30,30
0,10,0.2,0.05,0.1,100000,1000,40,500,34,6,34,0.15,0.15,0.15,0.15,1195.6666666666667,0.0042076604170534,0.0049501887259451,40,40
0,10,0.2,0.05,0.1,5000,0,10,500,12,3,8,0.2,0.2727272727272727,0.2,0.2307692307692307,245.0,0.1194029850746268,0.1492537313432836,10,15
0,10,0.2,0.05,0.1,5000,0,20,500,11,2,18,0.1538461538461538,0.1,0.1,0.1212121212121212,278.5,0.054862842892768,0.0648379052369077,20,13
0,10,0.2,0.05,0.1,5000,0,30,500,57,12,19,0.1739130434782608,0.3870967741935484,0.3666666666666666,0.24,185.8181818181818,0.1896838602329451,0.2296173044925124,30,69
0,10,0.2,0.05,0.1,5000,0,40,500,41,3,37,0.0681818181818181,0.075,0.075,0.0714285714285714,325.6666666666667,0.1023720349563046,0.1098626716604244,40,44
0,10,0.2,0.05,0.1,5000,1000,10,500,12,4,6,0.25,0.4,0.4,0.3076923076923077,1154.75,0.0995850622406639,0.1327800829875518,10,16
0,10,0.2,0.05,0.1,5000,1000,20,500,22,7,13,0.2413793103448276,0.35,0.35,0.2857142857142857,1154.2857142857142,0.0914760914760914,0.1205821205821205,20,29
0,10,0.2,0.05,0.1,5000,1000,30,500,40,13,17,0.2452830188679245,0.4333333333333333,0.4333333333333333,0.3132530120481928,1082.3846153846157,0.1109570041608876,0.1470180305131761,30,53
0,10,0.2,0.05,0.1,5000,1000,40,500,39,4,36,0.0930232558139534,0.1,0.1,0.0963855421686746,1271.0,0.0811654526534859,0.0894901144640998,40,43
0,10,0.2,0.3,0.0,100000,0,10,500,4,10,0,0.7142857142857143,1.0,1.0,0.8333333333333333,93.4,0.0019995001249687,0.0069982504373906,10,14
0,10,0.2,0.3,0.0,100000,0,20,500,115,20,0,0.1481481481481481,1.0,1.0,0.2580645161290322,113.55,0.0287464066991626,0.0337457817772778,20,135
0,10,0.2,0.3,0.0,100000,0,30,500,1,30,0,0.967741935483871,1.0,1.0,0.9836065573770492,94.6,0.000166652778935,0.0051662361469877,30,31
0,10,0.2,0.3,0.0,100000,0,40,500,219,42,0,0.160919540229885,1.0,1.0,0.2772277227722772,82.725,0.0273732891694269,0.0326229610649334,40,261
0,10,0.2,0.3,0.0,100000,1000,10,500,29,13,0,0.3095238095238095,1.0,1.0,0.4727272727272727,616.6,0.0143528829497649,0.0207869339272457,10,42
0,10,0.2,0.3,0.0,100000,1000,20,500,0,20,0,1.0,1.0,1.0,1.0,506.6,0.0,0.004949882440292,20,20
0,10,0.2,0.3,0.0,100000,1000,30,500,2,30,0,0.9375,1.0,1.0,0.967741935483871,506.56666666666666,0.000330005775101,0.005280092401617,30,32
0,10,0.2,0.3,0.0,100000,1000,40,500,8,40,0,0.8333333333333334,1.0,1.0,0.9090909090909092,524.525,0.000990037745189,0.0059402264711342,40,48
0,10,0.2,0.3,0.0,5000,0,10,500,6,10,0,0.625,1.0,1.0,0.7692307692307693,65.0,0.0597014925373134,0.1592039800995024,10,16
0,10,0.2,0.3,0.0,5000,0,20,500,13,21,0,0.6176470588235294,1.0,1.0,0.7636363636363637,61.45,0.0648379052369077,0.169576059850374,20,34
0,10,0.2,0.3,0.0,5000,0,30,500,28,33,0,0.5409836065573771,1.0,1.0,0.7021276595744682,57.13333333333333,0.0931780366056572,0.2029950083194675,30,61
0,10,0.2,0.3,0.0,5000,0,40,500,25,41,0,0.6212121212121212,1.0,1.0,0.766355140186916,57.575,0.062421972534332,0.1647940074906367,40,66
0,10,0.2,0.3,0.0,5000,1000,10,500,5,13,0,0.7222222222222222,1.0,1.0,0.8387096774193548,561.0,0.0414937759336099,0.1493775933609958,10,18
0,10,0.2,0.3,0.0,5000,1000,20,500,20,30,0,0.6,1.0,1.0,0.7499999999999999,524.0,0.0831600831600831,0.2079002079002079,20,50
0,10,0.2,0.3,0.0,5000,1000,30,500,30,44,0,0.5945945945945946,1.0,1.0,0.7457627118644068,538.3666666666667,0.0832177531206657,0.2052704576976421,30,74
0,10,0.2,0.3,0.0,5000,1000,40,500,33,55,0,0.625,1.0,1.0,0.7692307692307693,561.225,0.068678459937565,0.1831425598335067,40,88
0,10,0.2,0.3,0.1,100000,0,10,500,17,10,0,0.3703703703703703,1.0,1.0,0.5405405405405406,116.4,0.0084978755311172,0.0134966258435391,10,27
0,10,0.2,0.3,0.1,100000,0,20,500,109,22,0,0.1679389312977099,1.0,1.0,0.2875816993464052,110.65,0.027246594175728,0.0327459067616547,20,131
0,10,0.2,0.3,0.1,100000,0,30,500,1,29,1,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,98.44827586206895,0.000166652778935,0.0049995833680526,30,30
0,10,0.2,0.3,0.1,100000,0,40,500,2,40,0,0.9523809523809524,1.0,1.0,0.975609756097561,101.0,0.0002499843759765,0.0052496718955065,40,42
0,10,0.2,0.3,0.1,100000,1000,10,500,4,10,0,0.7142857142857143,1.0,1.0,0.8333333333333333,556.2,0.001979707993071,0.0069289779757485,10,14
0,10,0.2,0.3,0.1,100000,1000,20,500,20,20,0,0.5,1.0,1.0,0.6666666666666666,655.2,0.004949882440292,0.009899764880584,20,40
0,10,0.2,0.3,0.1,100000,1000,30,500,51,46,0,0.4742268041237113,1.0,1.0,0.6433566433566433,535.1333333333333,0.0084151472650771,0.0160052800924016,30,97
0,10,0.2,0.3,0.1,100000,1000,40,500,1,40,0,0.975609756097561,1.0,1.0,0.9876543209876544,545.05,0.0001237547181486,0.0050739434440938,40,41
0,10,0.2,0.3,0.1,5000,0,10,500,10,11,0,0.5238095238095238,1.0,1.0,0.6875000000000001,53.3,0.099502487562189,0.208955223880597,10,21
0,10,0.2,0.3,0.1,5000,0,20,500,163,26,0,0.1375661375661375,1.0,1.0,0.241860465116279,27.95,0.8129675810473815,0.942643391521197,20,189
0,10,0.2,0.3,0.1,5000,0,30,500,73,37,0,0.3363636363636363,1.0,1.0,0.5034013605442177,51.66666666666666,0.2429284525790349,0.3660565723793677,30,110
0,10,0.2,0.3,0.1,5000,0,40,500,32,42,0,0.5675675675675675,1.0,1.0,0.7241379310344828,70.05,0.079900124843945,0.1847690387016229,40,74
0,10,0.2,0.3,0.1,5000,1000,10,500,10,20,0,0.6666666666666666,1.0,1.0,0.8,441.9,0.0829875518672199,0.2489626556016597,10,30
0,10,0.2,0.3,0.1,5000,1000,20,500,30,40,0,0.5714285714285714,1.0,1.0,0.7272727272727273,465.5,0.1247401247401247,0.291060291060291,20,70
0,10,0.2,0.3,0.1,5000,1000,30,500,44,64,0,0.5925925925925926,1.0,1.0,0.7441860465116279,440.76666666666665,0.1220527045769764,0.2995839112343966,30,108
0,10,0.2,0.3,0.1,5000,1000,40,500,46,69,0,0.6,1.0,1.0,0.7499999999999999,521.05,0.0957336108220603,0.2393340270551509,40,115
0,11,0.01,0.05,0.0,100000,0,10,500,2,9,1,0.8181818181818182,0.9,0.9,0.8571428571428572,225.33333333333331,0.0009997500624843,0.005498625343664,10,11
0,11,0.01,0.05,0.0,100000,0,20,500,2,18,2,0.9,0.9,0.9,0.9,264.22222222222223,0.0004999375078115,0.0049993750781152,20,20
0,11,0.01,0.05,0.0,100000,0,30,500,29,0,30,0.0,0.0,0.0,0.0,,0.0048329305891175,0.0048329305891175,30,29
0,11,0.01,0.05,0.0,100000,0,40,500,6,35,5,0.8536585365853658,0.875,0.875,0.8641975308641976,269.1714285714286,0.0007499531279295,0.0051246797075182,40,41
0,11,0.01,0.05,0.0,100000,1000,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,831.2,0.0004949269982677,0.0054441969809453,10,11
0,11,0.01,0.05,0.0,100000,1000,20,500,18,1,19,0.0526315789473684,0.05,0.05,0.0512820512820512,1452.0,0.0044548941962628,0.0047023883182774,20,19
0,11,0.01,0.05,0.0,100000,1000,30,500,28,0,30,0.0,0.0,0.0,0.0,,0.0046200808514149,0.0046200808514149,30,28
0,11,0.01,0.05,0.0,100000,1000,40,500,39,0,40,0.0,0.0,0.0,0.0,,0.0048264340077965,0.0048264340077965,40,39
0,11,0.01,0.05,0.0,5000,0,10,500,5,5,5,0.5,0.5,0.5,0.5,263.4,0.0497512437810945,0.099502487562189,10,10
0,11,0.01,0.05,0.0,5000,0,20,500,3,17,3,0.85,0.85,0.85,0.85,296.29411764705884,0.0149625935162094,0.0997506234413965,20,20
0,11,0.01,0.05,0.0,5000,0,30,500,19,10,20,0.3448275862068966,0.3333333333333333,0.3333333333333333,0.3389830508474576,269.4,0.0632279534109817,0.0965058236272878,30,29
0,11,0.01,0.05,0.0,5000,0,40,500,26,14,26,0.35,0.35,0.35,0.35,294.2142857142857,0.0649188514357053,0.0998751560549313,40,40
0,11,0.01,0.05,0.0,5000,1000,10,500,8,2,8,0.2,0.2,0.2,0.2,1354.0,0.0663900414937759,0.0829875518672199,10,10
