,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.2,0.3,0.1,5000,0,40,500,31,42,0,0.5753424657534246,1.0,1.0,0.7304347826086955,69.55,0.0774032459425717,0.1822721598002497,40,73
0,10,0.2,0.3,0.1,5000,1000,10,500,8,10,0,0.5555555555555556,1.0,1.0,0.7142857142857143,583.4,0.0663900414937759,0.1493775933609958,10,18
0,10,0.2,0.3,0.1,5000,1000,20,500,21,35,0,0.625,1.0,1.0,0.7692307692307693,495.35,0.0873180873180873,0.2328482328482328,20,56
0,10,0.2,0.3,0.1,5000,1000,30,500,25,55,0,0.6875,1.0,1.0,0.8148148148148148,533.1666666666666,0.0693481276005547,0.2219140083217753,30,80
0,10,0.2,0.3,0.1,5000,1000,40,500,46,70,0,0.603448275862069,1.0,1.0,0.7526881720430108,523.45,0.0957336108220603,0.2414151925078043,40,116
0,11,0.01,0.05,0.0,100000,0,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,226.4,0.0004998750312421,0.005498625343664,10,11
0,11,0.01,0.05,0.0,100000,0,20,500,2,19,1,0.9047619047619048,0.95,0.95,0.9268292682926828,261.4736842105263,0.0004999375078115,0.0052493438320209,20,21
0,11,0.01,0.05,0.0,100000,0,30,500,3,28,2,0.9032258064516128,0.9333333333333332,0.9333333333333332,0.918032786885246,279.42857142857144,0.0004999583368052,0.0051662361469877,30,31
0,11,0.01,0.05,0.0,100000,0,40,500,3,37,3,0.925,0.925,0.925,0.925,273.72972972972974,0.0003749765639647,0.00499968751953,40,40
0,11,0.01,0.05,0.0,100000,1000,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,831.2,0.0004949269982677,0.0054441969809453,10,11
0,11,0.01,0.05,0.0,100000,1000,20,500,18,1,19,0.0526315789473684,0.05,0.05,0.0512820512820512,1452.0,0.0044548941962628,0.0047023883182774,20,19
0,11,0.01,0.05,0.0,100000,1000,30,500,27,1,29,0.0357142857142857,0.0333333333333333,0.0333333333333333,0.0344827586206896,1452.0,0.0044550779638643,0.0046200808514149,30,28
