,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
85811,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
86333,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
86352,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
86353,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
87312,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
87806,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
87854,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
88282,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
89783,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
90405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
90595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95350,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95540,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
95542,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
95543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95576,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95686,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
95832,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
95929,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
96791,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
97430,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
98292,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
98744,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
98746,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
99499,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
100247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101029,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
102539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107318,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107367,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107519,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
107691,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
107699,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
108144,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
108259,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
108260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108359,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
110170,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110682,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110707,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
114177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119299,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119401,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119454,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
119498,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
119635,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
119962,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
120123,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
120124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120257,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
120278,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
120774,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
122277,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
124107,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
124109,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
124538,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
124892,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
125610,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131323,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
131324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
131469,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
131563,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
131867,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
131902,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
132122,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0
132123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132226,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
133504,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
133512,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
133827,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
135326,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
135342,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
135352,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
135359,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
136860,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
137371,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
